595,129,18,48
594,129,18,48
595,130,18,48
595,130,18,48
595,130,18,48
595,128,18,50
594,129,18,48
595,129,18,49
595,129,18,49
595,129,18,49
595,129,18,49
595,129,18,49
594,130,18,49
594,130,18,49
594,129,18,49
594,130,18,49
594,129,18,50
593,129,18,50
594,129,18,50
593,129,18,51
593,129,18,50
593,130,19,50
593,129,18,52
593,130,19,50
593,130,19,51
593,130,19,51
593,129,19,51
593,129,19,52
593,129,19,53
593,129,19,52
593,129,19,51
592,130,19,51
592,130,19,51
592,130,19,51
591,130,19,52
590,130,19,53
590,130,19,52
590,130,19,52
590,130,19,52
590,130,19,52
590,130,19,52
589,130,20,53
589,130,19,54
589,130,19,53
589,130,20,53
589,130,20,53
589,130,19,53
589,130,21,53
589,130,19,53
589,130,21,54
589,130,21,54
589,130,22,54
589,129,21,55
589,130,21,55
589,129,20,56
589,130,20,55
588,130,21,56
588,130,20,56
588,130,21,56
588,131,20,55
588,131,20,55
588,130,20,56
588,130,20,56
588,130,20,57
588,131,20,56
588,131,20,56
587,131,23,56
588,131,21,56
587,131,22,58
587,131,23,57
587,131,22,57
588,131,21,57
588,131,21,58
588,130,21,59
587,130,22,59
588,130,21,59
588,130,21,58
587,131,22,58
587,131,22,59
587,131,21,59
586,131,21,59
586,131,21,59
586,131,21,59
586,131,21,60
586,131,21,60
586,131,21,60
586,131,21,60
586,131,21,60
586,131,21,61
586,132,21,61
584,132,24,61
585,132,24,61
585,132,23,61
585,131,24,62
585,131,23,62
585,131,23,62
585,131,23,62
585,131,22,63
585,131,22,63
585,132,22,63
584,132,22,63
584,132,22,63
584,132,22,64
584,132,22,64
583,132,22,64
583,132,22,64
583,132,22,64
583,131,22,66
584,132,22,65
584,132,22,65
583,133,23,65
584,132,22,65
584,132,22,66
584,132,23,66
583,132,23,66
583,133,23,66
584,132,23,67
582,132,24,67
583,132,23,67
581,133,25,67
583,133,23,67
583,133,23,68
582,133,23,68
582,133,23,68
581,133,24,68
581,134,23,68
580,133,24,69
580,133,24,69
580,133,25,69
581,133,24,69
580,133,25,69
580,134,26,70
579,133,27,70
579,134,27,70
579,134,28,70
580,133,26,71
582,133,24,71
582,134,25,71
581,134,27,72
582,133,24,71
582,133,25,72
582,133,24,72
582,133,24,72
582,133,24,72
582,133,25,75
582,133,25,75
582,134,25,73
582,135,24,73
582,134,26,75
582,134,25,75
582,134,25,75
582,134,25,75
582,134,25,75
582,134,25,76
582,134,25,76
582,135,27,76
583,136,26,76
583,137,26,75
584,137,26,75
584,136,26,77
584,135,26,78
585,134,27,78
584,135,27,78
584,135,28,79
583,135,29,79
583,136,29,78
583,137,29,78
583,138,29,77
583,137,28,79
583,138,28,78
583,138,28,78
583,135,28,82
583,135,28,82
583,136,29,82
583,136,28,83
583,136,29,83
583,136,29,83
583,136,29,84
583,139,28,82
583,139,28,82
584,139,28,82
583,139,30,82
584,137,30,84
584,137,30,84
584,137,31,86
584,137,31,86
584,137,31,87
584,138,31,85
584,137,31,87
584,139,30,86
584,138,30,88
583,139,31,87
584,139,30,87
584,138,30,89
584,138,30,89
584,138,30,89
584,138,30,90
584,138,31,90
584,139,31,91
584,139,32,91
585,140,31,91
585,140,32,92
584,140,34,92
585,140,34,92
585,139,34,93
586,139,34,93
586,139,34,93
586,139,35,94
586,139,35,94
586,139,35,95
586,141,35,95
586,141,35,96
586,141,35,96
586,142,35,95
